cell,nc_best_oracle,dd_best_polish_oracle,matched_raw_hc_idx,id_match_dist,raw_err,err_cap,survived_err_filter,got_polished_in_dd,ref_id_values
flexible_arm_0_1em8,4.778917947663904e-06,0.5119776911501235,160,0.7620298717616255,1873442.318556312,0.06133568209184542,0,0,theta_m=0.3110;omega_m=0.8340;theta_t=0.6330;omega_t=0.4500;Jm=0.5350;Jt=0.1400;bm=0.3090;bt=0.6210;k=0.8770
daisy_mamil4_8_1em8,0.3088504564922349,0.17781575079745027,512,0.005191282727446317,1.576493514497414e-08,8.313644439968142e-07,1,1,x1=0.5570;x2=0.5630;x3=0.2487;x4=0.7120;k01=0.2660;k12=0.8090;k13=0.2582;k14=0.1844;k21=0.3880;k31=0.8112;k41=0.4124
seir_3_0,6.109235924163003e-11,7.079278683731541e-12,819,3.0322915289815455e-09,1.8786495601467915e-10,4.090384652633179e-09,1,1,S=0.3860;E=0.3800;In=0.2490;Npop=0.4010;a=0.4840;b=0.7200;nu=0.6900
vanderpol_6_1em2,0.0002823989206340493,0.0002823820847219184,217,0.00045371820871023517,6.752018935416054e-05,0.0030115701547629055,1,1,x1=0.5440;x2=0.2269;a=0.7380;b=0.3670
quadrotor_9_1em4,0.0002749649124528381,0.0008200620993588995,94,0.0007170589260812321,6.792876602408527e-05,0.0027568312238372933,1,1,z=0.7870;w=0.2730;m=0.3470;d=0.1991
fitzhugh_nagumo_4_1em6,0.0015870895170178175,0.023498424990808304,160,1.6566514826621415e-10,4.085982186334015e-07,3.5038619229458264e-06,1,1,Vm=0.8470;R=0.3479;g=0.1211;a=0.3145;b=0.2413
fitzhugh_nagumo_0_1em4,0.014572343363278246,0.014572113577143681,96,0.08877309175383954,3.2455746099545574e-06,0.00032455746099545573,1,1,Vm=0.4390;R=0.8044;g=0.7675;a=0.2861;b=0.2083
