system,run,noise_label,n_cells,new_succ_001,old_succ_001,delta_pp_001,new_succ_01,old_succ_01,delta_pp_01,new_succ_1,old_succ_1,delta_pp_1,new_succ_5,old_succ_5,delta_pp_5
hiv,odepe_v2_polish,1em2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hiv,odepe_v2_polish,1em4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hiv,odepe_v2_polish,1em6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.7,0.5,20.0
hiv,odepe_v2_polish,1em8,10,0.2,0.3,-10.0,0.6,0.6,0.0,0.9,0.9,0.0,1.0,1.0,0.0
lotka_volterra,odepe_v2_nopolish,0,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
lotka_volterra,odepe_v2_nopolish,1em2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,1.0,1.0,0.0
lotka_volterra,odepe_v2_nopolish,1em4,10,0.0,0.0,0.0,0.3,0.6,-30.0,1.0,1.0,0.0,1.0,1.0,0.0
lotka_volterra,odepe_v2_nopolish,1em6,10,0.6,1.0,-40.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
lotka_volterra,odepe_v2_nopolish,1em8,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
lotka_volterra,odepe_v2_polish,0,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
lotka_volterra,odepe_v2_polish,1em2,10,0.0,0.1,-10.0,0.3,0.6,-30.0,0.9,1.0,-10.0,1.0,1.0,0.0
lotka_volterra,odepe_v2_polish,1em4,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
lotka_volterra,odepe_v2_polish,1em6,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
lotka_volterra,odepe_v2_polish,1em8,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
mass_spring_damper,odepe_v2_nopolish,0,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
mass_spring_damper,odepe_v2_nopolish,1em2,10,0.0,0.0,0.0,0.2,0.3,-10.0,1.0,1.0,0.0,1.0,1.0,0.0
mass_spring_damper,odepe_v2_nopolish,1em4,10,0.7,0.9,-20.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
mass_spring_damper,odepe_v2_nopolish,1em6,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
mass_spring_damper,odepe_v2_nopolish,1em8,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
mass_spring_damper,odepe_v2_polish,0,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
mass_spring_damper,odepe_v2_polish,1em2,10,0.0,0.0,0.0,0.2,0.9,-70.0,1.0,1.0,0.0,1.0,1.0,0.0
mass_spring_damper,odepe_v2_polish,1em4,10,0.9,1.0,-10.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
mass_spring_damper,odepe_v2_polish,1em6,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
mass_spring_damper,odepe_v2_polish,1em8,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
quadrotor,odepe_v2_nopolish,0,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
quadrotor,odepe_v2_nopolish,1em2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,1.0,0.0
quadrotor,odepe_v2_nopolish,1em4,10,0.5,0.8,-30.0,0.9,1.0,-10.0,1.0,1.0,0.0,1.0,1.0,0.0
quadrotor,odepe_v2_nopolish,1em6,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
quadrotor,odepe_v2_nopolish,1em8,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
quadrotor,odepe_v2_polish,0,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
quadrotor,odepe_v2_polish,1em2,10,0.0,0.0,0.0,0.0,0.4,-40.0,0.6,1.0,-40.0,1.0,1.0,0.0
quadrotor,odepe_v2_polish,1em4,10,0.5,1.0,-50.0,0.9,1.0,-10.0,1.0,1.0,0.0,1.0,1.0,0.0
quadrotor,odepe_v2_polish,1em6,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
quadrotor,odepe_v2_polish,1em8,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
repressilator,odepe_v2_nopolish,0,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
repressilator,odepe_v2_nopolish,1em2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0
repressilator,odepe_v2_nopolish,1em4,10,0.0,0.0,0.0,0.9,1.0,-10.0,1.0,1.0,0.0,1.0,1.0,0.0
repressilator,odepe_v2_nopolish,1em6,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
repressilator,odepe_v2_nopolish,1em8,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
repressilator,odepe_v2_polish,0,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
