direction,threshold,id,system,run,noise_label,new_oracle,old_oracle
regression,0.1,daisy_mamil3_2_1em2,daisy_mamil3,odepe_v2_polish,1em2,0.17010098260000658,0.07471722731980551
regression,0.1,daisy_mamil3_3_1em2,daisy_mamil3,odepe_v2_polish,1em2,0.25960409862451084,0.0592687182642832
regression,0.5,daisy_mamil3_4_1em2,daisy_mamil3,odepe_v2_polish,1em2,0.6265908203078779,0.41378607537006534
regression,0.1,daisy_mamil3_8_1em2,daisy_mamil3,odepe_v2_polish,1em2,0.129180698459542,0.012622395865763933
regression,0.01,daisy_mamil4_2_1em4,daisy_mamil4,odepe_v2_polish,1em4,0.02479418267125428,0.007504627401172493
regression,0.5,daisy_mamil4_7_1em2,daisy_mamil4,odepe_v2_polish,1em2,0.5188426544514763,0.2759718794994899
regression,0.01,daisy_mamil4_8_1em8,daisy_mamil4,odepe_v2_polish,1em8,0.1488316388686948,0.0061932097872721545
regression,0.1,daisy_mamil4_8_1em8,daisy_mamil4,odepe_v2_polish,1em8,0.1488316388686948,0.0061932097872721545
regression,0.1,dc_motor_2_1em2,dc_motor,odepe_v2_polish,1em2,0.11009170502169001,0.08288651082053086
regression,0.001,dc_motor_2_1em4,dc_motor,odepe_v2_polish,1em4,0.0026701742143773917,0.000819761361648847
regression,0.1,dc_motor_3_1em2,dc_motor,odepe_v2_polish,1em2,0.10111678532205692,0.06517028808593761
regression,0.001,dc_motor_4_1em4,dc_motor,odepe_v2_polish,1em4,0.0010004043579101007,0.0003240741029075845
regression,0.1,fitzhugh_nagumo_0_1em4,fitzhugh_nagumo,odepe_v2_polish,1em4,0.420495205760838,0.014572344562444701
regression,0.01,fitzhugh_nagumo_4_1em6,fitzhugh_nagumo,odepe_v2_polish,1em6,0.02350030304468266,0.0015870894925856627
regression,0.001,flexible_arm_0_0,flexible_arm,odepe_v2_polish,0,0.6219314023661177,4.448663659673002e-12
regression,0.01,flexible_arm_0_0,flexible_arm,odepe_v2_polish,0,0.6219314023661177,4.448663659673002e-12
regression,0.1,flexible_arm_0_0,flexible_arm,odepe_v2_polish,0,0.6219314023661177,4.448663659673002e-12
regression,0.5,flexible_arm_0_0,flexible_arm,odepe_v2_polish,0,0.6219314023661177,4.448663659673002e-12
regression,0.5,flexible_arm_0_1em4,flexible_arm,odepe_v2_polish,1em4,0.5592913273619382,0.14805624902137424
regression,0.01,flexible_arm_0_1em6,flexible_arm,odepe_v2_polish,1em6,0.45122489236717134,0.0025694106773253996
regression,0.1,flexible_arm_0_1em6,flexible_arm,odepe_v2_polish,1em6,0.45122489236717134,0.0025694106773253996
regression,0.001,flexible_arm_0_1em8,flexible_arm,odepe_v2_polish,1em8,0.3776305485570156,4.7798807520680085e-06
regression,0.01,flexible_arm_0_1em8,flexible_arm,odepe_v2_polish,1em8,0.3776305485570156,4.7798807520680085e-06
regression,0.1,flexible_arm_0_1em8,flexible_arm,odepe_v2_polish,1em8,0.3776305485570156,4.7798807520680085e-06
regression,0.001,forced_lotka_volterra_0_1em2,forced_lotka_volterra,odepe_v2_polish,1em2,0.1750416048561629,0.0009438741623661441
regression,0.01,forced_lotka_volterra_0_1em2,forced_lotka_volterra,odepe_v2_polish,1em2,0.1750416048561629,0.0009438741623661441
regression,0.1,forced_lotka_volterra_0_1em2,forced_lotka_volterra,odepe_v2_polish,1em2,0.1750416048561629,0.0009438741623661441
regression,0.001,forced_lotka_volterra_1_1em4,forced_lotka_volterra,odepe_v2_polish,1em4,0.0017858044854525174,0.000312542093211138
regression,0.001,forced_lotka_volterra_1_1em6,forced_lotka_volterra,odepe_v2_polish,1em6,0.0010160248855065346,0.00022020011112614652
rescue,0.01,forced_lotka_volterra_2_1em2,forced_lotka_volterra,odepe_v2_polish,1em2,0.006302125992313501,0.020245313015336403
regression,0.001,forced_lotka_volterra_2_1em6,forced_lotka_volterra,odepe_v2_polish,1em6,0.005779836860089961,0.00026592131583910895
regression,0.001,forced_lotka_volterra_3_1em6,forced_lotka_volterra,odepe_v2_polish,1em6,0.006099317127172316,0.00036720176795843664
regression,0.5,forced_lotka_volterra_7_1em2,forced_lotka_volterra,odepe_v2_polish,1em2,1.2646789631584407,0.12723639617813598
regression,0.001,forced_lotka_volterra_7_1em6,forced_lotka_volterra,odepe_v2_polish,1em6,0.0018932687799723448,0.0004690101408336232
regression,0.01,forced_lotka_volterra_9_1em2,forced_lotka_volterra,odepe_v2_polish,1em2,0.06540476895960663,0.0014896899198009795
regression,0.001,forced_lotka_volterra_9_1em6,forced_lotka_volterra,odepe_v2_polish,1em6,0.006012015969364404,0.00018917107434012278
regression,0.001,harmonic_oscillator_6_1em2,harmonic_oscillator,odepe_v2_polish,1em2,0.0010293752282026453,0.0005740145850328742
regression,0.001,harmonic_oscillator_8_1em2,harmonic_oscillator,odepe_v2_polish,1em2,0.0011035131916958603,0.0001333390846198873
rescue,0.5,hiv_0_1em6,hiv,odepe_v2_polish,1em6,0.18014394168493242,0.99396704705289
regression,0.001,hiv_1_1em8,hiv,odepe_v2_polish,1em8,0.003306750883882902,0.00044818029077365343
rescue,0.5,hiv_8_1em6,hiv,odepe_v2_polish,1em6,0.2077027383542663,0.9737275466204248
regression,0.01,lotka_volterra_2_1em2,lotka_volterra,odepe_v2_polish,1em2,0.1697293782200049,0.007488058711265727
regression,0.1,lotka_volterra_2_1em2,lotka_volterra,odepe_v2_polish,1em2,0.1697293782200049,0.007488058711265727
regression,0.001,lotka_volterra_5_1em2,lotka_volterra,odepe_v2_polish,1em2,0.07232410715411158,0.0006270398047550972
regression,0.01,lotka_volterra_5_1em2,lotka_volterra,odepe_v2_polish,1em2,0.07232410715411158,0.0006270398047550972
regression,0.01,lotka_volterra_6_1em2,lotka_volterra,odepe_v2_polish,1em2,0.03939727170801295,0.00918397518289966
