,index,id,true_states,true_parameters,time_start,time_end,time_count,name,non_identifiable,noise,finished,has_result,software,result,time
10,2,biohydrogenation_2_0,"{'x4': 0.215, 'x5': 0.856, 'x6': 0.517, 'x7': 0.432}","{'k5': 0.883, 'k6': 0.739, 'k7': 0.469, 'k8': 0.724, 'k9': 0.195, 'k10': 0.612}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,pe,,
11,2,biohydrogenation_2_0,"{'x4': 0.215, 'x5': 0.856, 'x6': 0.517, 'x7': 0.432}","{'k5': 0.883, 'k6': 0.739, 'k7': 0.469, 'k8': 0.724, 'k9': 0.195, 'k10': 0.612}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,odepe,,
12,2,biohydrogenation_2_0,"{'x4': 0.215, 'x5': 0.856, 'x6': 0.517, 'x7': 0.432}","{'k5': 0.883, 'k6': 0.739, 'k7': 0.469, 'k8': 0.724, 'k9': 0.195, 'k10': 0.612}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,sciml,,
13,2,biohydrogenation_2_0,"{'x4': 0.215, 'x5': 0.856, 'x6': 0.517, 'x7': 0.432}","{'k5': 0.883, 'k6': 0.739, 'k7': 0.469, 'k8': 0.724, 'k9': 0.195, 'k10': 0.612}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,iqm,,
14,2,biohydrogenation_2_0,"{'x4': 0.215, 'x5': 0.856, 'x6': 0.517, 'x7': 0.432}","{'k5': 0.883, 'k6': 0.739, 'k7': 0.469, 'k8': 0.724, 'k9': 0.195, 'k10': 0.612}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,amigo2,,
15,3,biohydrogenation_3_0,"{'x4': 0.59, 'x5': 0.594, 'x6': 0.855, 'x7': 0.645}","{'k5': 0.312, 'k6': 0.719, 'k7': 0.465, 'k8': 0.555, 'k9': 0.115, 'k10': 0.594}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,pe,,
16,3,biohydrogenation_3_0,"{'x4': 0.59, 'x5': 0.594, 'x6': 0.855, 'x7': 0.645}","{'k5': 0.312, 'k6': 0.719, 'k7': 0.465, 'k8': 0.555, 'k9': 0.115, 'k10': 0.594}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,odepe,,
17,3,biohydrogenation_3_0,"{'x4': 0.59, 'x5': 0.594, 'x6': 0.855, 'x7': 0.645}","{'k5': 0.312, 'k6': 0.719, 'k7': 0.465, 'k8': 0.555, 'k9': 0.115, 'k10': 0.594}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,sciml,,
18,3,biohydrogenation_3_0,"{'x4': 0.59, 'x5': 0.594, 'x6': 0.855, 'x7': 0.645}","{'k5': 0.312, 'k6': 0.719, 'k7': 0.465, 'k8': 0.555, 'k9': 0.115, 'k10': 0.594}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,iqm,,
19,3,biohydrogenation_3_0,"{'x4': 0.59, 'x5': 0.594, 'x6': 0.855, 'x7': 0.645}","{'k5': 0.312, 'k6': 0.719, 'k7': 0.465, 'k8': 0.555, 'k9': 0.115, 'k10': 0.594}",-1.0,1.0,1001,biohydrogenation,['x7'],0.0,False,False,amigo2,,
