system,noise,instance,method,row_idx,n_returned,expected_M,expected_M_physical,orbit_type,assigned_orbit_index,max_rel_error,hit_at_50,distinct_branch_hits,duplicate_branch_fraction,branch_coverage_fraction,cluster_distinct_count
biohydrogenation,0,24,odepe_v2_nopolish,0,2,2,1,none,0,2.787113001483059e-07,True,2,0.0,2.0,2
biohydrogenation,0,24,odepe_v2_nopolish,1,2,2,1,none,0,3.9745444159887306e-07,True,2,0.0,2.0,2
biohydrogenation,0,24,amigo2,0,1,2,1,none,0,24.93151833546735,False,0,0.0,0.0,1
biohydrogenation,0,24,odepe_shade,0,1,2,1,none,0,8.630811252921161,False,0,0.0,0.0,1
biohydrogenation,0,25,odepe_v2_polish,0,2,2,1,none,0,7.528385757930611e-10,True,2,0.0,2.0,2
biohydrogenation,0,25,odepe_v2_polish,1,2,2,1,none,0,8.814013571288664e-10,True,2,0.0,2.0,2
biohydrogenation,0,25,odepe_v2_nopolish,0,2,2,1,none,0,0.0001659243349951561,True,2,0.0,2.0,2
biohydrogenation,0,25,odepe_v2_nopolish,1,2,2,1,none,0,1.848864128344416e-05,True,2,0.0,2.0,2
biohydrogenation,0,25,amigo2,0,1,2,1,none,0,1.6223081568462836,False,0,0.0,0.0,1
biohydrogenation,0,25,odepe_shade,0,1,2,1,none,0,0.9747457416601921,False,0,0.0,0.0,1
biohydrogenation,0,26,odepe_v2_polish,0,2,2,1,none,0,2.9977928588289494e-09,True,2,0.0,2.0,2
biohydrogenation,0,26,odepe_v2_polish,1,2,2,1,none,0,1.4341613742822826e-08,True,2,0.0,2.0,2
biohydrogenation,0,26,odepe_v2_nopolish,0,2,2,1,none,0,0.00010509963015922945,True,2,0.0,2.0,2
biohydrogenation,0,26,odepe_v2_nopolish,1,2,2,1,none,0,0.00010499606200680526,True,2,0.0,2.0,2
biohydrogenation,0,26,amigo2,0,1,2,1,none,0,12.219932450769605,False,0,0.0,0.0,1
biohydrogenation,0,26,odepe_shade,0,1,2,1,none,0,0.9999228513563725,False,0,0.0,0.0,1
biohydrogenation,0,27,odepe_v2_polish,0,2,2,1,none,0,3.437299995864347e-07,True,2,0.0,2.0,2
biohydrogenation,0,27,odepe_v2_polish,1,2,2,1,none,0,9.448358728277179e-07,True,2,0.0,2.0,2
biohydrogenation,0,27,odepe_v2_nopolish,0,2,2,1,none,0,3.1653406875873863e-07,True,2,0.0,2.0,2
biohydrogenation,0,27,odepe_v2_nopolish,1,2,2,1,none,0,9.448358728277179e-07,True,2,0.0,2.0,2
biohydrogenation,0,27,amigo2,0,1,2,1,none,0,2.725038319545267,False,0,0.0,0.0,1
biohydrogenation,0,27,odepe_shade,0,1,2,1,none,0,0.9999413158142656,False,0,0.0,0.0,1
biohydrogenation,0,28,odepe_v2_polish,0,2,2,1,none,0,1.997580577024265e-10,True,2,0.0,2.0,2
biohydrogenation,0,28,odepe_v2_polish,1,2,2,1,none,0,9.816936542785235e-09,True,2,0.0,2.0,2
biohydrogenation,0,28,odepe_v2_nopolish,0,2,2,1,none,0,1.2089927334057757e-08,True,2,0.0,2.0,2
biohydrogenation,0,28,odepe_v2_nopolish,1,2,2,1,none,0,1.3416699289862328e-06,True,2,0.0,2.0,2
biohydrogenation,0,28,amigo2,0,1,2,1,none,0,24.897984980471232,False,0,0.0,0.0,1
biohydrogenation,0,28,odepe_shade,0,1,2,1,none,0,0.9997096916221556,False,0,0.0,0.0,1
biohydrogenation,0,29,odepe_v2_polish,0,2,2,1,none,0,2.5067883035187267e-06,True,2,0.0,2.0,2
biohydrogenation,0,29,odepe_v2_polish,1,2,2,1,none,0,5.038090977857486e-07,True,2,0.0,2.0,2
biohydrogenation,0,29,odepe_v2_nopolish,0,2,2,1,none,0,4.2869245489186065e-07,True,2,0.0,2.0,2
biohydrogenation,0,29,odepe_v2_nopolish,1,2,2,1,none,0,5.535314187894102e-06,True,2,0.0,2.0,2
biohydrogenation,0,29,amigo2,0,1,2,1,none,0,1.6968987228744734,False,0,0.0,0.0,1
biohydrogenation,0,29,odepe_shade,0,1,2,1,none,0,0.9996735281610142,False,0,0.0,0.0,1
daisy_mamil4,0,80,odepe_v2_polish,0,2,2,2,none,0,1.8686868638609084,False,1,0.0,0.5,2
daisy_mamil4,0,80,odepe_v2_polish,1,2,2,2,none,0,4.825310185089283e-09,True,1,0.0,0.5,2
daisy_mamil4,0,80,odepe_v2_nopolish,0,2,2,2,none,0,1.8686868638596652,False,1,0.0,0.5,2
daisy_mamil4,0,80,odepe_v2_nopolish,1,2,2,2,none,0,4.8261299558276675e-09,True,1,0.0,0.5,2
daisy_mamil4,0,80,amigo2,0,1,2,2,none,0,2.6412239398954434e-09,True,1,0.0,0.5,1
daisy_mamil4,0,80,odepe_shade,0,1,2,2,none,0,2.81518168298049e-12,True,1,0.0,0.5,1
daisy_mamil4,0,81,odepe_v2_polish,0,2,2,2,none,0,0.45096153914308884,True,2,0.0,1.0,2
daisy_mamil4,0,81,odepe_v2_polish,1,2,2,2,none,0,5.534011558480775e-09,True,2,0.0,1.0,2
daisy_mamil4,0,81,odepe_v2_nopolish,0,2,2,2,none,0,0.4509615390671784,True,2,0.0,1.0,2
daisy_mamil4,0,81,odepe_v2_nopolish,1,2,2,2,none,0,5.4264464428386525e-09,True,2,0.0,1.0,2
daisy_mamil4,0,81,amigo2,0,1,2,2,none,0,4.092653618866446e-09,True,1,0.0,0.5,1
