system,estimator,noise_label,cell_id,n_rows,top1_err,oracle_err,oracle_rank,gap_ratio,is_mult2,row0_is_alt_branch
aircraft_pitch,odepe_v2_polish,0,aircraft_pitch_6_0,20,0.0003825028737386438,2.478288870418529e-09,1,154341.52100035353,False,False
aircraft_pitch,odepe_v2_polish,1em2,aircraft_pitch_6_1em2,20,0.16018048922220862,0.14358125792609316,12,1.1156086214585175,False,False
aircraft_pitch,odepe_v2_polish,1em4,aircraft_pitch_6_1em4,20,0.0007772180769178973,0.000757349861992767,1,1.0262338661723027,False,False
aircraft_pitch,odepe_v2_polish,1em6,aircraft_pitch_6_1em6,20,0.005336311128404442,0.002913633982340458,1,1.8314967359482475,False,False
aircraft_pitch,odepe_v2_polish,1em8,aircraft_pitch_6_1em8,20,0.0028546916113959047,0.0009599261813693207,4,2.973865768848735,False,False
aircraft_pitch,odepe_v2_polish,0,aircraft_pitch_7_0,20,0.00021439506894060633,1.3749283268982887e-09,1,155931.81458720964,False,False
aircraft_pitch,odepe_v2_polish,1em2,aircraft_pitch_7_1em2,20,0.12151430739837434,0.03970938398505503,14,3.060090467384417,False,False
aircraft_pitch,odepe_v2_polish,1em4,aircraft_pitch_7_1em4,20,0.0016400408582621943,0.00011201131911510426,8,14.641742202650674,False,False
aircraft_pitch,odepe_v2_polish,1em6,aircraft_pitch_7_1em6,20,0.0006314232235863654,0.0003054223093046371,6,2.067377543650767,False,False
aircraft_pitch,odepe_v2_polish,1em8,aircraft_pitch_7_1em8,20,0.000982158038081011,4.9103565711691285e-05,15,20.0017661415404,False,False
aircraft_pitch,odepe_v2_polish,0,aircraft_pitch_8_0,20,5.255964465660802e-06,6.570341458313676e-09,1,799.9530159897932,False,False
aircraft_pitch,odepe_v2_polish,1em2,aircraft_pitch_8_1em2,20,0.14397327403974408,0.14392009295317756,17,1.0003695181504908,False,False
aircraft_pitch,odepe_v2_polish,1em4,aircraft_pitch_8_1em4,20,0.000520280728065227,0.0002009504122244621,11,2.5891000785013176,False,False
aircraft_pitch,odepe_v2_polish,1em6,aircraft_pitch_8_1em6,20,0.0005558343758259863,0.00025318021463565694,8,2.19541000321004,False,False
aircraft_pitch,odepe_v2_polish,1em8,aircraft_pitch_8_1em8,20,0.0001641467101591336,9.833814785199655e-05,6,1.669206851507738,False,False
aircraft_pitch,odepe_v2_polish,0,aircraft_pitch_9_0,20,7.743355613069347e-06,1.1771097862831792e-07,6,65.78278171927894,False,False
aircraft_pitch,odepe_v2_polish,1em2,aircraft_pitch_9_1em2,20,0.04667604563076845,0.026990864115647075,16,1.72932757657468,False,False
aircraft_pitch,odepe_v2_polish,1em4,aircraft_pitch_9_1em4,20,0.0037138736773689733,1.0611152920300756e-05,6,349.997187418133,False,False
aircraft_pitch,odepe_v2_polish,1em6,aircraft_pitch_9_1em6,20,0.0007068490235937184,0.0007068490235937184,0,1.0,False,False
aircraft_pitch,odepe_v2_polish,1em8,aircraft_pitch_9_1em8,20,0.0031225752525274736,1.442192564817961e-05,14,216.51583350948817,False,False
bicycle_model,odepe_v2_polish,0,bicycle_model_0_0,20,6.708605536030228e-06,1.4798507247201872e-12,1,4533298.814513,False,False
bicycle_model,odepe_v2_polish,1em2,bicycle_model_0_1em2,20,0.0035366847597320195,0.0035235306312298644,2,1.0037332238254344,False,False
bicycle_model,odepe_v2_polish,1em4,bicycle_model_0_1em4,20,0.00026716424163273473,0.00026716424163273473,0,1.0,False,False
bicycle_model,odepe_v2_polish,1em6,bicycle_model_0_1em6,20,1.5488986311356628e-05,1.5488986311356628e-05,0,1.0,False,False
