Run,True_E,True_L,True_M,True_Npop,True_P,True_delta_EL,True_delta_LM,True_delta_NE,True_mu_EE,True_mu_LE,True_mu_LL,True_mu_N,True_mu_P,True_mu_PE,True_mu_PL,True_rho_E,True_rho_P,Est_E,Est_L,Est_M,Est_Npop,Est_P,Est_delta_EL,Est_delta_LM,Est_delta_NE,Est_mu_EE,Est_mu_LE,Est_mu_LL,Est_mu_N,Est_mu_P,Est_mu_PE,Est_mu_PL,Est_rho_E,Est_rho_P,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
2,0.604,0.799,0.334,0.739,0.779,0.869,0.285,0.371,0.325,0.569,0.151,0.728,0.489,0.882,0.801,0.859,0.853,0.6145239719255187,1045.841488925885,-1044.631645212546,0.7389891079661509,0.7789983277702186,0.6782251368729914,-2.8860266330662556,-77.70512145035588,0.408752161276102,-14.65799555087504,0.265844982606042,0.7228378428060132,-12245.228713113065,-9178.160973850761,168.51050945522218,19.61822647984117,114069.43166791546,21.838447590036285,10240.775704759744,133726.35248290206,27915.91571633857,False
1,0.18,0.113,0.844,0.293,0.636,0.542,0.568,0.167,0.49,0.384,0.852,0.216,0.712,0.699,0.823,0.87,0.334,0.17999529740524198,0.11214890007718005,0.8448214392789508,0.2930000022541809,0.6360001446740701,0.5419999997446218,0.5679994856299722,0.167000007159343,0.4900000087164674,0.3840159819503399,0.8520002257018314,0.2159999999918303,0.711999799637862,0.6989885312858314,0.8230001495226329,0.8700000158806938,0.33399929146606805,2.6490825287166236e-07,0.0005054911201803225,0.007531857724070384,0.0002869252349348947,True
3,0.279,0.178,0.79,0.509,0.878,0.395,0.21,0.612,0.111,0.378,0.219,0.594,0.885,0.483,0.498,0.758,0.252,0.2790002268515486,0.17799653090570838,0.7900004765773669,0.5089999995126576,0.8779999960346426,0.39499999997611285,0.2100000001302627,0.6119999963859213,0.11100000001919975,0.3779999937495315,0.21900000002895653,0.5940000000026985,0.885000009802409,0.4830000155401241,0.49799999957768676,0.75800000006627,0.2520000032667513,4.5163523642258434e-09,1.234805801939509e-06,1.948929377308002e-05,8.510761133839743e-07,True
