Run,True_R,True_Vm,True_a,True_b,True_g,Est_R,Est_Vm,Est_a,Est_b,Est_g,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
3,0.572,0.186,0.867,0.194,0.718,0.5719999052015129,0.1859999999999874,0.8670221776684081,0.19407096655818667,0.7179995056496928,6.885101770671082e-07,7.844820436902712e-05,0.0003658070009622123,3.325163071447541e-05,True
2,0.518,0.446,0.15,0.294,0.218,0.5180194945759592,0.44599999999992707,0.1500056500657079,0.29404374962106383,0.2180053603641476,3.7634316523509706e-05,4.973969653653506e-05,0.00014880823491105047,2.1701265314986534e-05,True
1,0.368,0.659,0.812,0.712,0.881,0.3679998520922897,0.6589999999997775,0.8119901543826608,0.7119677152747673,0.8809998243487365,4.0192312581986145e-07,1.161403206559532e-05,4.53437152143894e-05,1.5094981909207154e-05,True
