Run,True_Jm,True_Kt,True_i,True_omega_m,Est_Jm,Est_Kt,Est_i,Est_omega_m,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
1,0.523,0.638,0.898,0.344,0.5230000000035174,0.6379999999995498,0.8980000000408228,0.343999999160366,2.6092561617709526e-11,6.234217982978038e-10,2.4407964344754116e-09,4.2031663195046245e-10,True
2,0.477,0.39,0.884,0.403,0.47700000038931956,0.39000000002005414,0.8840000002500036,0.403,1.6711515278689072e-10,2.876034760669003e-10,8.161835986938196e-10,2.3155651974670298e-10,True
3,0.362,0.24,0.151,0.644,0.3620000000017237,0.23999999999995025,0.1509999999944181,0.644,2.4844664897104356e-12,1.0483783007245144e-11,3.6966199049559705e-11,2.9210995526104228e-12,True
