Run,True_k10,True_k5,True_k6,True_k7,True_k8,True_k9,True_x4,True_x5,True_x6,True_x7,Est_k10,Est_k5,Est_k6,Est_k7,Est_k8,Est_k9,Est_x4,Est_x5,Est_x6,Est_x7,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
3,0.501,0.805,0.565,0.805,0.654,0.68,0.865,0.615,0.439,0.585,0.4597609345224401,0.8050000000601868,0.5650000001709631,0.8049783091498962,0.6544661924973817,0.6858986277606689,0.8649999999999999,0.6149999999977414,0.4370363431862774,0.11622393807737008,0.0003698888601061347,0.08975273585695515,0.8013266015771452,0.1488255772092386,False
2,0.777,0.574,0.558,0.278,0.862,0.458,0.66,0.338,0.751,0.417,0.7770024450399324,0.5739999999938902,0.5579999999828553,0.2779999999538559,0.8619999774693666,0.4579998776184503,0.6599999999998978,0.3379999999987116,0.751000089806711,0.3966283670770255,1.3151805918105033e-08,0.0048856396655691525,0.048852836745742215,0.006442076015929873,True
1,0.316,0.569,0.116,0.763,0.104,0.642,0.688,0.87,0.299,0.561,0.3160000135907523,0.5689999999972292,0.11599999999267561,0.7630000123026266,0.10400001886392854,0.6419999673501724,0.6880000000000602,0.8699999999734297,0.2989999503934655,0.5414685456493049,2.9566364464285607e-08,0.00348158840299482,0.034815426650080465,0.006176388176414326,True
