method,noise,n_rows,success_at_1pct,success_at_10pct,success_at_50pct,median_error,error_IQR_low,error_IQR_high,median_time_s
ODEPE-v2 (polish),0,230,90.8695652173913,92.17391304347827,93.91304347826087,2.0380643241933228e-11,2.301352990316114e-13,1.1344155914500784e-05,559.1380239725113
ODEPE-v2 (polish),1e-8,230,84.34782608695653,87.39130434782608,89.13043478260869,3.9955146131144857e-07,7.63908137465436e-09,3.294592668386014e-05,625.0289570093155
ODEPE-v2 (polish),1e-6,230,74.34782608695653,82.6086956521739,86.52173913043478,2.0243357268910324e-05,8.000953261368101e-07,0.00020930892199135,670.5739650726318
ODEPE-v2 (polish),1e-4,230,53.91304347826087,67.82608695652173,73.04347826086956,0.0004909678620805,6.169376942110896e-05,0.006674565924507899,697.6969949007034
ODEPE-v2 (polish),1e-2,230,20.0,46.95652173913044,59.56521739130435,0.0142663108919826,0.0019335826594728501,0.1008115322209438,1025.7115415334702
ODEPE-v2 (no polish),0,230,85.21739130434783,85.65217391304348,87.39130434782608,1.0345981497259867e-10,5.865686200735253e-12,1.3876289347510251e-08,642.5121355056763
ODEPE-v2 (no polish),1e-8,230,69.56521739130434,71.73913043478261,75.21739130434783,7.318589694458998e-06,4.805521633698782e-07,0.0015855200500691,690.0012900829315
ODEPE-v2 (no polish),1e-6,230,63.04347826086957,71.73913043478261,74.78260869565217,9.998521439258284e-05,8.167093894386723e-06,0.003821468328946775,731.5513515472412
ODEPE-v2 (no polish),1e-4,230,36.95652173913043,55.21739130434783,65.65217391304347,0.004231928835129651,0.000224211278059925,0.0421525472370659,708.1019660234451
ODEPE-v2 (no polish),1e-2,230,9.130434782608695,23.47826086956522,46.52173913043478,0.07535065048769105,0.0122859594681586,0.3846299956075635,894.5776770114899
AMIGO2,0,230,88.69565217391305,90.0,92.17391304347827,2.2211874418347861e-10,7.26740109800009e-11,2.5476363160998763e-09,637.6022355
AMIGO2,1e-8,230,86.08695652173914,88.26086956521739,91.30434782608695,1.5689189888976662e-08,1.1172593294510243e-09,3.669085414979885e-07,582.1830295
AMIGO2,1e-6,230,76.52173913043478,80.43478260869566,83.91304347826087,1.1587751588032919e-06,1.1653724051771217e-07,3.8725425591631916e-05,678.3556504999999
AMIGO2,1e-4,230,60.0,72.60869565217392,75.21739130434783,0.000106631325101,9.88256832768642e-06,0.003600317092145075,683.3551815000001
AMIGO2,1e-2,230,24.782608695652176,49.130434782608695,61.30434782608696,0.0107808509121336,0.0008843816377597751,0.10023057045362094,606.8705405000001
SHADE+LM,0,230,81.30434782608695,81.30434782608695,82.6086956521739,1.0457026484307696e-13,2.169249653347938e-14,3.255532660471109e-12,408.1156461238861
SHADE+LM,1e-8,230,77.82608695652173,78.69565217391305,80.8695652173913,2.5650171910720358e-08,1.2992471233327411e-09,1.33105873456093e-06,366.09041142463684
SHADE+LM,1e-6,230,72.60869565217392,75.21739130434783,78.26086956521739,1.5717059327544807e-06,1.3924021664243935e-07,7.883128973918744e-05,370.34163796901703
SHADE+LM,1e-4,230,56.52173913043478,68.26086956521739,70.43478260869566,0.00013440059349440002,1.2690495408263294e-05,0.009850528637711875,362.2473670244217
SHADE+LM,1e-2,230,23.043478260869566,45.65217391304348,57.826086956521735,0.0134406352450559,0.0011313574414871502,0.14829752633981313,372.0240969657898
