system,method,max_drop_pp,cliff_from_noise,cliff_to_noise,success_noise_0,success_noise_1e-8,success_noise_1e-6,success_noise_1e-4,success_noise_1e-2
mass_spring_damper,AMIGO2,0.0,none,none,100.0,100.0,100.0,100.0,100.0
mass_spring_damper,SHADE+LM,0.0,none,none,100.0,100.0,100.0,100.0,100.0
quadrotor,ODEPE-v2 (polish),12.5,1e-4,1e-2,100.0,100.0,100.0,100.0,87.5
quadrotor,ODEPE-v2 (no polish),75.0,1e-4,1e-2,100.0,100.0,100.0,100.0,25.0
quadrotor,AMIGO2,0.0,none,none,100.0,100.0,100.0,100.0,100.0
quadrotor,SHADE+LM,0.0,none,none,100.0,100.0,100.0,100.0,100.0
repressilator,ODEPE-v2 (polish),12.5,1e-4,1e-2,100.0,100.0,100.0,100.0,87.5
repressilator,ODEPE-v2 (no polish),62.5,1e-4,1e-2,100.0,100.0,100.0,100.0,37.5
repressilator,AMIGO2,12.5,1e-4,1e-2,100.0,100.0,100.0,100.0,87.5
repressilator,SHADE+LM,12.5,1e-4,1e-2,100.0,100.0,100.0,100.0,87.5
seir,ODEPE-v2 (polish),37.5,1e-8,1e-6,100.0,100.0,62.5,25.0,0.0
seir,ODEPE-v2 (no polish),37.5,1e-6,1e-4,100.0,75.0,50.0,12.5,0.0
seir,AMIGO2,25.0,1e-6,1e-4,75.0,62.5,50.0,25.0,0.0
seir,SHADE+LM,37.5,1e-6,1e-4,62.5,50.0,50.0,12.5,0.0
sirt_treatment,ODEPE-v2 (polish),100.0,1e-4,1e-2,100.0,100.0,100.0,100.0,0.0
sirt_treatment,ODEPE-v2 (no polish),50.0,1e-6,1e-4,100.0,100.0,100.0,50.0,0.0
sirt_treatment,AMIGO2,100.0,1e-4,1e-2,100.0,100.0,87.5,100.0,0.0
sirt_treatment,SHADE+LM,100.0,1e-4,1e-2,100.0,100.0,87.5,100.0,0.0
slow_fast,ODEPE-v2 (polish),75.0,1e-6,1e-4,100.0,100.0,100.0,25.0,50.0
slow_fast,ODEPE-v2 (no polish),87.5,1e-4,1e-2,100.0,100.0,100.0,100.0,12.5
slow_fast,AMIGO2,37.5,1e-4,1e-2,100.0,87.5,100.0,87.5,50.0
slow_fast,SHADE+LM,12.5,0,1e-8,87.5,75.0,87.5,75.0,62.5
vanderpol,ODEPE-v2 (polish),0.0,none,none,100.0,100.0,100.0,100.0,100.0
vanderpol,ODEPE-v2 (no polish),0.0,none,none,100.0,100.0,100.0,100.0,100.0
vanderpol,AMIGO2,0.0,none,none,100.0,100.0,100.0,100.0,100.0
vanderpol,SHADE+LM,0.0,none,none,100.0,100.0,100.0,100.0,100.0
