Run,True_k1,True_k2,True_k3,True_r,True_w,Est_k1,Est_k2,Est_k3,Est_r,Est_w,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
4,0.803,0.653,0.89,0.707,0.392,25.192162501289683,74.19450989588978,99.99999999996741,1.3454067779308307,0.35575674744087976,30.37255604145664,51.069707802091806,112.62099524638556,56.26079612316657,False
3,0.701,0.842,0.123,0.817,0.414,2.123310536819644e-14,1.4269239884934167e-09,74.30489798265017,0.9335184433694234,0.004014073671460382,0.9999999983053159,121.24755664989762,603.1048616475624,33.17931891499085,False
10,0.802,0.398,0.101,0.298,0.355,0.6444040999535625,2.191613906127106e-11,74.10938437173674,0.3010583922816591,0.01788746815342251,0.949612765765007,146.98253207027204,732.7562809082845,33.098452688895634,False
7,0.137,0.877,0.103,0.243,0.59,3.2159790763449116,0.12910636732047343,0.01498782857160386,0.24299361018994128,27.853559976916895,0.8544871012465645,14.078204653607717,46.20942368968966,12.2747619593675,False
6,0.645,0.322,0.52,0.194,0.228,0.6319492554643049,0.046856304242942765,0.5760299076979867,0.19400372888233589,1.2919286803479493,0.10774982249612819,1.129768028873717,4.6663538611752164,0.49212965012997667,False
1,0.23,0.548,0.719,0.465,0.223,0.2319263762369053,0.5881547134069798,0.7300736272734252,0.46499948146151077,0.21103153278416803,0.015401428753025316,0.030144674756840056,0.07327502446529148,0.019400934838088937,True
2,0.26,0.446,0.523,0.38,0.725,0.2599581711730785,0.4444077917672816,0.5224647281050672,0.38000006988994245,0.7275073938227855,0.0010234644262578467,0.0016425952609977219,0.003569973615960502,0.0013498456575498162,True
5,0.501,0.401,0.392,0.309,0.497,0.5013428317164044,0.4008004387462398,0.3914389058222488,0.3089999589135378,0.498098343744079,0.0006842948431224913,0.0009646793330965913,0.0022099471711851553,0.000579403820823973,True
9,0.34,0.54,0.845,0.517,0.314,0.33991548338799976,0.5391199487703602,0.8448564758480359,0.5170000010494634,0.31435743049615544,0.000248578270589008,0.0006372939098537471,0.0016297244993330657,0.000431274614665564,True
8,0.165,0.806,0.676,0.873,0.506,0.16497530865162166,0.8060490973071138,0.676041393115021,0.8729999224172357,0.5059384711583381,6.123241867002648e-05,7.869581956886154e-05,0.00014964453562634728,4.1278087642332865e-05,True
