Run,True_deltaEL,True_deltaLM,True_deltaNE,True_e,True_m,True_muEE,True_muLE,True_muLL,True_muM,True_muN,True_muP,True_muPE,True_muPL,True_n,True_p,True_rhoE,True_rhoP,True_s,Est_deltaEL,Est_deltaLM,Est_deltaNE,Est_e,Est_m,Est_muEE,Est_muLE,Est_muLL,Est_muM,Est_muN,Est_muP,Est_muPE,Est_muPL,Est_n,Est_p,Est_rhoE,Est_rhoP,Est_s,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
3,0.663,0.18,0.745,0.22,0.23,0.623,0.622,0.445,0.817,0.559,0.394,0.449,0.814,0.899,0.592,0.836,0.671,0.795,71.61225388604333,71.94765317887715,46.888671720357884,71.13841083706022,18.534196134777037,72.44739739253633,51.98196733997113,19.242317872378763,94.90902228153132,60.50268327185682,33.03696228434321,68.75002044116759,93.88555957219768,36.09242990923846,86.92190403269319,69.59888994660815,79.7806940506158,42.75423821194872,107.12311487538253,123.29517942181853,398.7091843270952,64.16392756318095,False
6,0.448,0.349,0.146,0.12,0.644,0.268,0.249,0.855,0.692,0.419,0.492,0.282,0.303,0.244,0.463,0.657,0.402,0.154,41.54580745065155,96.84238973715928,86.5255664772806,65.30979333035285,96.25655757800362,75.58249262195895,30.113481768705096,86.76423835192567,56.997654981551506,30.866066142825368,8.992369388639931,21.885452699593056,93.72510188287106,23.18588241645021,91.6002208907337,11.733186944319051,72.26952430864041,0.2542464388033183,110.20815956662287,177.5782676924824,591.6408662827439,63.80587850658076,False
4,0.793,0.88,0.678,0.684,0.517,0.778,0.746,0.555,0.426,0.199,0.155,0.658,0.463,0.388,0.143,0.785,0.109,0.237,27.360644515205003,65.72277584340162,65.11661511109553,11.692474664287511,90.6094992238825,84.13118130590466,23.96160865964143,37.867635924501286,34.4882543837416,54.7760698231227,37.58727884788785,54.28762831347692,72.54462385154116,54.20847273211996,82.5275271314893,72.28608480058098,70.84630132602501,84.307870464114,101.0899851766458,180.03229707247675,648.9660672112387,60.85477157330322,False
2,0.341,0.628,0.115,0.208,0.556,0.654,0.68,0.501,0.865,0.805,0.615,0.439,0.585,0.443,0.573,0.332,0.594,0.339,67.1410109603201,3.7428388718986128,29.42254458616813,54.862710018319795,54.255979178949495,7.189398918639434,96.86422563887741,56.70510651610415,57.33899460074957,26.09212343567012,52.1548710289632,2.4818287919553095,72.59322327362426,90.47264411759949,31.666914924936506,71.26786563189651,96.98166521431558,57.104839277897156,117.63741264821927,121.5442326487962,262.7630289342298,58.66391731287698,False
1,0.862,0.458,0.278,0.751,0.805,0.316,0.688,0.87,0.299,0.642,0.561,0.574,0.558,0.338,0.565,0.777,0.66,0.417,2.11138519572448,29.02978400285613,57.438841279132724,41.29358287685779,90.92739516101408,20.18600665505038,10.473669536151576,82.44680679993898,12.096006626108258,40.551881127766066,77.78571513383264,6.476005201969426,6.951757839799145,20.308080610638157,49.99789542619077,59.22514174663076,33.888512675997376,48.46291217190908,62.27436587076156,69.70184748967117,205.61453697529757,46.21138105382812,False
5,0.597,0.562,0.232,0.529,0.684,0.115,0.735,0.279,0.376,0.26,0.842,0.664,0.125,0.591,0.35,0.29,0.847,0.572,0.5971484049271468,0.2513097329458188,0.2321195524439786,0.5290015952076149,1.126993473639382,0.11402422566049679,1.554426645968493,0.9796294828582938,0.1631566736988257,0.25998199289422264,0.721346439378968,0.8846549285365185,1.8490034423104542,0.5910021868042787,0.35000791467199577,0.28869484805627116,1.3120055363653305,0.1289926304346593,0.23780282717578782,1.1665338431918546,13.792027538483634,0.5243163676285623,False
