Jm,omega_m(t),i(t),Kt
0.3102968023077896,82.7836584696384,0.6648248253687273,0.24214631014226912
0.4056092710010349,0.6438361590525852,0.01354880621697859,0.27369904032635634
0.3881430101257556,0.6438361590525852,0.07227675172854595,0.2408931980881591
0.3619999999979032,0.7404978746196331,0.15299476269537798,0.24000000000007035
0.3619613471365045,0.6438361590525852,0.15812977812847925,0.2399996633260768
0.3620074551486464,0.6438361590525852,0.15797881456154014,0.24000003306716616
0.3620000000046456,0.6440338552983237,0.15100069922641593,0.2400000000001674
0.3620000000017237,0.644,0.1509999999944181,0.23999999999995025
