Run,True_a,True_b,True_x1,True_x2,Est_a,Est_b,Est_x1,Est_x2,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
8,0.212,0.387,0.85,0.839,0.2077349742500004,0.3879757395889653,0.8502355414429847,0.8374097595819296,0.002208345355358905,0.006202961070316005,0.020118045990564132,0.0023306038247770467,True
5,0.687,0.428,0.399,0.513,0.6839274537701859,0.42729981391098665,0.3999272263230676,0.512812612070126,0.001979912151257954,0.0021993784332806285,0.004472410814867716,0.0016451188242832698,True
7,0.836,0.668,0.242,0.487,0.8335540218913015,0.6664710026883264,0.24269225069751674,0.4869672976053187,0.0025747291018156197,0.002035605011550628,0.00292581113480683,0.0014833174105841219,True
2,0.75,0.484,0.832,0.139,0.7515703859387122,0.48529596615129084,0.8323839864038978,0.13916584049846126,0.0016434725147574363,0.0016065207911620232,0.002677616015063741,0.0010393013147187839,True
3,0.334,0.672,0.434,0.238,0.3358235324032592,0.6723619345415321,0.4341603711565402,0.238327836521091,0.0009580287210440244,0.0019363135225072183,0.005459677854069356,0.000947293873423303,True
1,0.585,0.193,0.682,0.61,0.58666243086645,0.19282535898137185,0.6819050589288843,0.6097997114606565,0.0006166088059817935,0.0010535473896325102,0.0028417621648718213,0.0008431051501874172,True
4,0.186,0.754,0.479,0.806,0.1872320926470417,0.7544080381449841,0.4785001889748449,0.8052320940489109,0.0009980918643144358,0.0022903755983755265,0.006624154016353162,0.0007943610686018215,True
10,0.218,0.306,0.799,0.494,0.21694852796056377,0.3050906878429965,0.7988437591097901,0.49403775717740595,0.0015835769504569644,0.002016712917517591,0.004823266235946008,0.0006996925876429287,True
9,0.326,0.372,0.58,0.871,0.32649286750992135,0.370908162915233,0.5798249892281006,0.871310222245709,0.000934015716443638,0.0012762050174629277,0.0029350459267930406,0.0006248786310200831,True
6,0.811,0.69,0.104,0.655,0.8108386186266385,0.689524443714262,0.10384926949499287,0.6553036790481866,0.0005764220714759465,0.0007002916294683328,0.0014493317789146265,0.00030295972422920097,True
