,k1,k2,k3,r,w,MRAE
True,0.555,0.426,0.155,0.658,0.463,0.001
Estimated,0.5550000062946852,0.4259999938754835,0.1550000007100456,0.660357471411128,0.4635828879742876,
,,,,,,
