,index,id,true_states,true_parameters,time_start,time_end,time_count,name,noise,finished,has_result,software,result,time
76,15,fitzhugh_nagumo_1_1em4,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,0.0001,True,True,odepe,"[['g', '-0.0941939685197851', '-0.07145353307092227', '-0.17160355439042982', '0.39231778914634674', '0.9013641890880051', '0.5531424331312541', '0.9269472365761934'], ['a', '2.740059615470313', '2.8369244676282395', '3.84261897610861', '3.2537684753862757', '0.4632552051427478', '2.946890449103524', '0.5587785706034861'], ['b', '0.16768777304494134', '0.09769896796295056', '0.15725598944807986', '0.33581739925544174', '0.4665822146541943', '0.491179014917638', '0.5835643822515572'], ['VV', '-9.262524673273163', '-7.3713141291696225', '-5.471425894681231', '-0.893819724605115', '0.11088597338573128', '-0.850330910205004', '0.11074511110076095'], ['R', '-375.9741514567248', '-301.6347061199508', '-91.73648610716727', '7.26206207427297', '0.7314356892189616', '4.749016890155188', '0.708641330688622']]",140.06893372535706
77,15,fitzhugh_nagumo_1_1em4,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,0.0001,True,True,sciml,"[['g', '0.8404779530288772'], ['a', '0.15861538381126308'], ['b', '0.17154218821101577'], ['VV', '0.11599563678753179'], ['R', '0.7655251802494537']]",112.84910011291504
78,15,fitzhugh_nagumo_1_1em4,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,0.0001,False,False,iqm,,
79,15,fitzhugh_nagumo_1_1em4,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,0.0001,False,False,amigo2,,
80,16,vanderpol_0_1em2,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,0.01,True,True,pe,"[['a'], ['b'], ['x1'], ['x2']]",107.5605731010437
81,16,vanderpol_0_1em2,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,0.01,True,True,odepe,"[['a', '1.0766439607731948', '0.46632047904991347', '0.5103047915329548', '0.5241509157223458'], ['b', '-4.869651736596821', '0.9038921974326312', '0.6779736996857167', '0.6679826140279538'], ['x1', '-0.6704890579334994', '0.5642872799603137', '0.5899123251475152', '0.5834192012791941'], ['x2', '5.713079161975804', '0.48075107319348187', '0.5382921654207923', '0.532365577008975']]",99.27340006828308
82,16,vanderpol_0_1em2,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,0.01,True,True,sciml,"[['a', '0.5390659310182818'], ['b', '0.67351055709259'], ['x1', '0.5819148503324685'], ['x2', '0.535603595497829']]",110.08818936347961
83,16,vanderpol_0_1em2,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,0.01,False,False,iqm,,
84,16,vanderpol_0_1em2,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,0.01,False,False,amigo2,,
85,17,vanderpol_1_1em2,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,0.01,True,True,pe,"[['a'], ['b'], ['x1'], ['x2']]",110.59777545928955
86,17,vanderpol_1_1em2,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,0.01,True,True,odepe,"[['a', '0.20068301864768415', '0.5265549375939829', '0.48240473931595573', '0.43746607947325916'], ['b', '2.1515401331047626', '1.4286669784205637', '0.5082381333482382', '0.6130209787541044'], ['x1', '0.6694517070802384', '0.4789984723526793', '0.40880284712185694', '0.4501500921344723'], ['x2', '0.5842775358690603', '0.6026301888524177', '0.8301971565933846', '0.8144271508462545']]",105.19843745231628
87,17,vanderpol_1_1em2,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,0.01,True,True,sciml,"[['a', '0.43877723077194947'], ['b', '0.6164109070579444'], ['x1', '0.4500974557386924'], ['x2', '0.8134193250696777']]",110.18447756767273
88,17,vanderpol_1_1em2,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,0.01,False,False,iqm,,
89,17,vanderpol_1_1em2,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,0.01,False,False,amigo2,,
90,18,fitzhugh_nagumo_0_1em2,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,0.01,True,True,pe,"[['g'], ['a'], ['b'], ['VV'], ['R']]",105.63220119476318
91,18,fitzhugh_nagumo_0_1em2,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,0.01,True,True,odepe,"[['g', '0.021531605043685866', '0.023233181598318546', '0.4113108183158166', '0.48930632428579507', '0.7833251058994734'], ['a', '119.36353298788472', '187.42985130085836', '1.963722295829124', '1.8756664190735417', '0.46177070398537245'], ['b', '1.8663631360417432', '3.1618690009202544', '0.5147496874440132', '0.6674404936487939', '0.5485302201929968'], ['VV', '0.634849730332919', '0.6233357569826459', '0.4812698269070953', '0.5156677792613596', '0.49852011646689776'], ['R', '63.6064569987043', '59.07782291272177', '2.3458407101561893', '1.7284148197842037', '0.7705081549029204']]",140.1430025100708
92,18,fitzhugh_nagumo_0_1em2,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,0.01,True,True,sciml,"[['g', '0.8920645613541681'], ['a', '0.3987722228660525'], ['b', '0.775913699544579'], ['VV', '0.5243865844093035'], ['R', '0.5191730497673429']]",114.55868101119995
93,18,fitzhugh_nagumo_0_1em2,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,0.01,False,False,iqm,,
94,18,fitzhugh_nagumo_0_1em2,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,0.01,False,False,amigo2,,
95,19,fitzhugh_nagumo_1_1em2,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,0.01,True,False,pe,,97.38130712509155
96,19,fitzhugh_nagumo_1_1em2,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,0.01,True,True,odepe,"[['g', '-0.6148812655075835', '0.15110451913105763', '0.2191881040332078', '1.1187710590482542'], ['a', '6.290827264127743', '11.864489196313608', '33.68771391038038', '1.0621691660291073'], ['b', '-0.030879788533201266', '1.064877756163882', '4.5596072969987365', '1.4666033188115895'], ['VV', '-3.4399566335438694', '-0.11267510306443744', '-0.24846041106775818', '0.11395552379516419'], ['R', '-15.437542550886157', '11.027687935326707', '7.426054962913282', '0.5527044358310494']]",146.4392750263214
97,19,fitzhugh_nagumo_1_1em2,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,0.01,True,True,sciml,"[['g', '0.8697527582221223'], ['a', '0.24631775507075063'], ['b', '0.2566008893389021'], ['VV', '0.11607475182491389'], ['R', '0.7370476328237588']]",112.8492956161499
98,19,fitzhugh_nagumo_1_1em2,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,0.01,False,False,iqm,,
99,19,fitzhugh_nagumo_1_1em2,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,0.01,False,False,amigo2,,
