,index,id,true_states,true_parameters,time_start,time_end,time_count,name,noise,finished,has_result,software,result,time
16,3,fitzhugh_nagumo_1_0,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,0.0,True,True,odepe,"[['g', '0.018633407006645453', '-0.02161538601592403', '0.024579653135578763', '0.8399813458745126', '0.8406766477288373', '0.645727297426759'], ['a', '1.4788718130325038', '2.272887162440963', '1.3301318345627398', '0.15709797734518172', '0.16048256082813347', '1.2641240973452095'], ['b', '-0.037417484938894206', '0.03299580260364917', '-0.05168644815738109', '0.17000226164294008', '0.17307373711333496', '0.20855287204417655'], ['VV', '-14.186530609340751', '-8.276745023218364', '-16.64669613437596', '0.11595586208910703', '0.11594973525206023', '-0.37160478665381275'], ['R', '1922.1525935193426', '-1051.4005966460857', '1608.1054955741401', '0.7661529811896597', '0.7656052233141418', '2.8210430116550547']]",221.19839143753052
17,3,fitzhugh_nagumo_1_0,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,0.0,True,True,sciml,"[['g', '0.8400000326524149'], ['a', '0.15700009912257856'], ['b', '0.17000009740300315'], ['VV', '0.11600000037396165'], ['R', '0.7659999643592242']]",116.76494646072388
18,3,fitzhugh_nagumo_1_0,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,0.0,False,False,iqm,,
19,3,fitzhugh_nagumo_1_0,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,0.0,False,False,amigo2,,
20,4,vanderpol_0_1em8,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,1e-08,True,True,pe,"[['a', '0.5390060930797127'], ['b', '0.6720121286431118'], ['x1', '0.5819986544604915'], ['x2', '0.5359977099786524']]",145.04949021339417
21,4,vanderpol_0_1em8,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,1e-08,True,True,odepe,"[['a', '0.5389992629216945', '0.5389995474962718'], ['b', '0.6719989190282433', '0.6719985635969612'], ['x1', '0.582000181319958', '0.5820000850810009'], ['x2', '0.5360002230030257', '0.5360002506292929']]",120.62759566307068
22,4,vanderpol_0_1em8,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,1e-08,True,True,sciml,"[['a', '0.5390000014307409'], ['b', '0.6719999964274364'], ['x1', '0.5819999996254067'], ['x2', '0.5360000002460217']]",113.13213729858398
23,4,vanderpol_0_1em8,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,1e-08,False,False,iqm,,
24,4,vanderpol_0_1em8,"{'x1': 0.582, 'x2': 0.536}","{'a': 0.539, 'b': 0.672}",-1.0,1.0,1001,vanderpol,1e-08,False,False,amigo2,,
25,5,vanderpol_1_1em8,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,1e-08,True,True,pe,"[['a', '0.4390008616883464'], ['b', '0.6169993270551992'], ['x1', '0.4499994372730931'], ['x2', '0.812999917465202']]",114.6780297756195
