Run,True_k10,True_k5,True_k6,True_k7,True_k8,True_k9,True_x4,True_x5,True_x6,Est_k10,Est_k5,Est_k6,Est_k7,Est_k8,Est_k9,Est_x4,Est_x5,Est_x6,True_x7,Est_x7,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
5,0.637,0.388,0.45,0.658,0.148,0.633,0.268,0.203,0.352,0.2652474072309331,0.13555951424101043,0.24582762831344063,0.02630336078172113,0.9990030072773954,0.4813955957774315,0.9858270202068031,0.9810495381296189,0.6253650452619904,0.391,0.24588855660299958,0.7766052422215638,1.7694780989672756,5.7500203194418615,0.5359527722673139,False
6,0.66,0.466,0.106,0.842,0.352,0.196,0.67,0.29,0.546,0.1322894298832319,0.20613338041890228,0.3969120935799112,0.9073293545691429,0.23046971522426818,0.6050428925493813,0.13949797864181146,0.5420205440696372,0.27497585505024547,0.47,0.13605738145352553,0.7917940617286396,0.9742976491967629,2.7444537130180304,0.33918094336075083,False
7,0.395,0.227,0.188,0.625,0.211,0.257,0.757,0.178,0.77,0.19892576018791494,0.4816225381488019,0.9999979239509842,0.7886516943398517,0.011551204901740789,0.13498914693237435,0.7695519355128307,0.18915804332857197,0.7501410512987514,0.177,0.4848685350119913,0.47475040104134497,0.8582354738595468,4.3191378933563,0.3063663658295107,False
8,0.407,0.415,0.22,0.106,0.621,0.264,0.464,0.747,0.792,0.01618563109636928,0.3533666403825667,0.7345731603308406,0.478855291283791,0.651730567184912,0.4615290282427179,0.3950198462552532,0.8542821723330222,0.4690770608046203,0.617,0.5682952308596453,0.40773098383255013,0.9403257498265363,3.5175027479602927,0.28300965493114416,False
10,0.414,0.126,0.668,0.52,0.877,0.501,0.154,0.327,0.147,0.3566251101775125,0.09723515465100774,0.5124429936751879,0.7214091802670962,0.6640457093649481,0.7797246453584351,0.2717739442770025,0.5427059410802851,0.32964670964471243,0.652,0.6559988767851809,0.3873253466674927,0.4947937612480764,1.242494623433418,0.17816330454099086,False
2,0.443,0.423,0.402,0.222,0.722,0.615,0.439,0.767,0.276,0.6118377265266141,0.4230007439997231,0.40200107970883653,0.21960954954292966,0.5465876588927325,0.5227214145364806,0.43900006404433717,0.7669992009340931,0.4325450191453166,0.184,0.5006323070406175,0.010767794851668209,0.15023210258294095,0.5671920983525963,0.10127139659872887,False
3,0.612,0.883,0.739,0.469,0.724,0.195,0.215,0.856,0.517,0.6881101081007093,0.8830001184152021,0.7390000911421377,0.46332590777079824,0.6293152568149302,0.2072978539719665,0.21499999927359983,0.8559996700517786,0.5863429175172031,0.432,0.49981808200101613,0.01209827767420412,0.051603706811402555,0.1341255657972981,0.04684468651475902,False
9,0.662,0.596,0.227,0.307,0.296,0.347,0.728,0.75,0.406,0.6497614110384746,0.5959995798355111,0.22699963347989952,0.31164673831012774,0.3328845691566875,0.3104065742775015,0.7279999458483244,0.7500002324356924,0.39107785691427266,0.473,0.4995223221509756,0.015135955407582216,0.033382954447980076,0.12461003093475517,0.018540034278145264,False
4,0.594,0.312,0.719,0.465,0.555,0.115,0.59,0.594,0.855,0.6076050919661511,0.3119988860519332,0.7189957717848293,0.4594303930945083,0.5342335919434646,0.12000516396184564,0.5899999800748554,0.5940000806553696,0.8517484064637526,0.645,0.4993127059118055,0.003803033375727926,0.013292734976981684,0.04352316488561424,0.00871134189175353,True
1,0.617,0.539,0.672,0.582,0.536,0.439,0.45,0.813,0.871,0.616007160640703,0.539002187505099,0.6720037709651001,0.5834813997512912,0.5407967943493384,0.4371874734895863,0.45000004709213187,0.8130000071968309,0.8718614865053067,0.407,0.49953051572912294,0.000989077503222397,0.0020257073940509076,0.008949243189064046,0.0018323312899067763,True
