nu,NN(t),b,In(t),S(t),E(t),a
0.6504707336425781,0.6099996566772461,3910.79296875,4.852321677189423e10,1.1603169757841012e25,-1.1603169757841068e25,10249.625
10249.625,0.6099996566772461,3910.79296875,-7.416057913261627e6,-3.78110316649381e-16,7.415587804195531e6,0.6504707336425781
3426.12109375,0.6099996566772461,11698.578125,-828642.2946204065,-3.7811060676421364e-16,828485.5083577064,0.6504688262939453
0.6504688262939453,0.6099996566772461,11698.578125,-828352.2465860723,3.781103365264409e-16,2824.5151278068065,3426.12109375
