Run,True_E,True_In,True_NN,True_S,True_a,True_b,True_nu,Est_E,Est_In,Est_NN,Est_S,Est_a,Est_b,Est_nu,MedianRelErr,MeanRelErr,RMSE,Success
1,0.723,0.775,0.211,0.495,0.838,0.335,0.462,0.24297516728056667,0.7754908960016282,0.210999968103402,0.35773259859247497,0.5841032858634266,0.4072930385238694,0.5534957409745052,0.21580011499662496,0.2369569179380997,0.2162431554590527,False
2,0.225,0.343,0.16,0.182,0.442,0.774,0.754,0.1900954022230236,0.3429474886422358,0.16000011350928278,0.17487999070218266,0.41304097582543803,0.7351905419414071,0.8421008328617221,0.050141418680352615,0.060987208356086724,0.04031232371425948,False
3,0.787,0.742,0.227,0.272,0.151,0.267,0.846,0.7809056087689281,0.7418884809897043,0.22699993767150986,0.2802182284978884,0.15182188164173102,0.26235021596763963,0.8541353019037934,0.007743826214830897,0.010083216237807098,0.005253195471885743,True
