Run,True_a,True_b,True_beta,True_c,True_d,True_h,True_k,True_lm,True_q,True_uu,True_vv,True_w,True_x,True_yy,True_z,Est_a,Est_b,Est_beta,Est_c,Est_d,Est_h,Est_k,Est_lm,Est_q,Est_uu,Est_vv,Est_w,Est_x,Est_yy,Est_z,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
1,0.797,0.764,0.884,0.533,0.207,0.875,0.502,0.595,0.839,0.838,0.24,0.411,0.836,0.129,0.862,6.090696827047045,0.5875351522779283,9.241525686613064,0.38675628112593585,0.23327902400771938,0.9610560809321609,0.27625623411638917,1.6939957135463433,3.071567306543095,0.6782117873767253,0.16196017468916923,0.41108963177405355,0.8356988932459983,0.20705525731865257,0.8616451923923675,0.2743784594260116,1.5271025373659877,9.454214577616588,2.6358162422360327,False
10,0.515,0.168,0.115,0.278,0.252,0.277,0.774,0.392,0.164,0.399,0.153,0.152,0.18,0.312,0.785,0.6260027462167611,0.17146264015524185,0.01919030279142237,2.5837535995778906,0.28302844000073046,0.2768832110176265,4.544474012431339,0.3966157948582231,0.13769971541129636,0.31090148413942503,0.4258152730052919,0.1520070747223856,0.17993400746836544,0.03920306012752615,0.7849932433797782,0.16036758895551004,1.1606091821206221,8.294077696323347,1.146378951970265,False
2,0.457,0.161,0.809,0.629,0.228,0.657,0.826,0.34,0.452,0.228,0.148,0.149,0.298,0.132,0.826,0.4571995018852109,0.1609980367389839,0.8088682698741781,0.6291716527997316,0.22799810594387834,0.6570007509722395,0.8261892281503351,0.33999913308973895,0.45202215332256296,0.22789623811766924,0.14802237356855977,0.1490000230593439,0.29799998352078044,0.13197760447627316,0.8259999684490262,4.901177558173795e-05,0.00013005008904561834,0.0004550959751349639,9.476075062989424e-05,True
8,0.671,0.156,0.376,0.445,0.637,0.758,0.611,0.42,0.592,0.419,0.53,0.188,0.623,0.681,0.424,0.6710625612268557,0.1559996404784027,0.3759899158677887,0.44506898152400304,0.6368867439702327,0.7580013614301858,0.6110778848910662,0.41994770253088,0.592001286716136,0.4189900043838844,0.5300934178615666,0.1879999963054425,0.6230000209185572,0.6809064849814113,0.42399998956463786,2.6819500562017988e-05,6.990953997863659e-05,0.00017779596509781123,5.6555320493988156e-05,True
3,0.523,0.403,0.638,0.39,0.818,0.884,0.344,0.692,0.477,0.898,0.644,0.151,0.24,0.362,0.586,0.5230093447409119,0.40299706385618483,0.6380072868032749,0.38998927177620635,0.8179979415571969,0.8840006227835544,0.3440127206189432,0.6919998585873426,0.47702445367197277,0.898007938615277,0.6439951162996548,0.15100000043690048,0.2400000021162544,0.3620048844331562,0.5859999981244515,7.583385629250511e-06,1.2378920674817457e-05,5.126555969138487e-05,8.71515351132707e-06,True
9,0.69,0.867,0.124,0.663,0.357,0.183,0.188,0.424,0.608,0.585,0.528,0.423,0.794,0.123,0.519,0.6900180940985717,0.8669999104799755,0.1240004887668388,0.6630199438890526,0.3570016152457505,0.1829999802403976,0.18801508617845303,0.42400187377059695,0.6080007718631874,0.5849997919940226,0.5280039505478495,0.42300000016342537,0.7939999998451867,0.12299604846853593,0.5190000011881447,3.941668054900067e-06,1.2725548350860137e-05,8.024563006929585e-05,8.128040749239521e-06,True
5,0.75,0.368,0.61,0.712,0.677,0.218,0.881,0.382,0.659,0.812,0.446,0.518,0.15,0.294,0.718,0.7499979723373509,0.36800083699479474,0.610001405254035,0.7120130185651281,0.6770000086443252,0.21800002804626298,0.8809975674828724,0.38199998812363606,0.6589853319578712,0.8120021297459703,0.44599886735785194,0.5180000073685745,0.1500000005205012,0.2940011347035124,0.7180000038960657,2.3036951393854367e-06,3.98685804718484e-06,2.2258030544455097e-05,5.192595194298976e-06,True
7,0.235,0.466,0.293,0.476,0.565,0.884,0.788,0.498,0.193,0.147,0.194,0.317,0.439,0.786,0.423,0.23500153706384838,0.4660021832579808,0.29299951325459006,0.4760069088061943,0.5649998887850392,0.8840001988990602,0.7880015856741548,0.4979999543750315,0.19299805318448174,0.14699880833070472,0.19400036495687037,0.31700000606898004,0.43900000043399484,0.7859996333283913,0.4229999989499321,1.6612471328403343e-06,3.3660760089561986e-06,1.4514298727532926e-05,2.0517297524548018e-06,True
4,0.512,0.207,0.291,0.37,0.327,0.177,0.394,0.482,0.876,0.465,0.627,0.418,0.375,0.573,0.899,0.5120001961267181,0.20700023389072356,0.29099984262519724,0.3700010651044419,0.3270000060509228,0.17699998737177533,0.39400013157425845,0.48199999962449686,0.875997847643633,0.464999770275086,0.6270003269962822,0.41800000151387295,0.3750000005406655,0.5729996754531359,0.8989999997018097,3.8305999626626897e-07,6.267592119067874e-07,2.8786606538428956e-06,6.412261300783693e-07,True
6,0.572,0.42,0.186,0.849,0.194,0.404,0.696,0.867,0.887,0.779,0.625,0.79,0.218,0.648,0.178,0.5720001166748977,0.41999999376535707,0.1859998107326537,0.8490007403480591,0.19400003045589095,0.40399999510486756,0.696000597219449,0.8670000026631639,0.8870000200841901,0.7789996795087366,0.6250005697046876,0.7899999994924223,0.21800000025574168,0.6479994311918295,0.1779999993616495,1.569891285983396e-07,3.578292783402644e-07,1.017566377933015e-06,3.3728760101715464e-07,True
