Run,True_eA,True_eB,True_eC,True_k1,True_k2,True_xA,True_xB,True_xC,Est_eA,Est_eB,Est_eC,Est_k1,Est_k2,Est_xA,Est_xB,Est_xC,MedianRelErr,MeanRelErr,MaxRelErr,RMSE,Success
4,0.749,0.793,0.379,0.597,0.499,0.602,0.421,0.433,0.7488297951800352,0.7726784470309445,0.37911841137753566,1.280920180377383,0.3672091246433823,0.6262333867201737,0.3821765678246494,0.45513378754511374,0.04568604373411511,0.2024325028397966,1.1455949420056668,0.2470103937412353,False
9,0.212,0.339,0.282,0.48,0.756,0.221,0.364,0.751,0.21196228194702868,0.2820165244647066,0.28201652494747,-6.99547172166399e-08,0.4767627627948429,0.014236821286900937,0.5894565336441954,0.747793270817267,0.26872713653062635,0.387115869314427,1.0000001457389942,0.22505903773364722,False
6,0.394,0.884,0.374,0.82,0.146,0.177,0.791,0.553,0.3940102045507455,0.8414694434034099,0.37398261422684587,1.2581927318851018,0.13510939502078986,0.1651721471671578,0.8236878151490171,0.5548804496125876,0.04471808042659921,0.09608844882158164,0.5343813803476852,0.15618588750954457,False
7,0.544,0.626,0.761,0.706,0.352,0.514,0.488,0.821,0.5439198310631781,0.6294589256875867,0.7610725456490783,0.35666471718394505,0.35666471718394516,0.6122849281983689,0.35817096759106626,0.8500342532910384,0.024308267990921093,0.1258065962984607,0.49480918245900135,0.13666901985032479,False
2,0.736,0.682,0.376,0.832,0.685,0.332,0.562,0.723,0.7359510382614358,0.6944288485127513,0.3760773078557281,0.9448914562961382,0.6222780035053141,0.25895353501827084,0.631245806965977,0.7217531154175413,0.05489453822014514,0.07383816298224286,0.22001947283653364,0.05805744671003659,False
8,0.366,0.718,0.18,0.68,0.131,0.273,0.823,0.134,0.36597690650239734,0.7156662041846514,0.18010324942739311,0.5565948834844994,0.13404848678725173,0.3177703396488215,0.8039227047781755,0.1340897547015169,0.013215300301991318,0.04956000486042056,0.1814781125227951,0.046920022926939066,False
5,0.24,0.801,0.193,0.269,0.148,0.835,0.196,0.368,0.2400996428659683,0.734972913188738,0.19304252361579807,0.30536827509016046,0.1287899704612469,0.8090244974801393,0.22406207010212592,0.3686328026274654,0.05676960312021066,0.06550795742735445,0.14317382705166282,0.03064692387988386,False
3,0.459,0.213,0.554,0.717,0.689,0.793,0.453,0.489,0.458899535127146,0.2013025732436977,0.5538081569015518,0.6689716184202108,0.668971618420211,0.811579056841176,0.4404614123744971,0.5037792434351278,0.02837388500084246,0.02910848085759084,0.06698519048785101,0.021111494987412806,True
10,0.682,0.416,0.752,0.155,0.665,0.349,0.675,0.369,0.6825514188556427,0.4259485251022934,0.7517738478290964,0.1537803371251416,0.6485388910346445,0.3285349410977353,0.6955348826790945,0.36730394533612704,0.015891758272305934,0.018912983743629284,0.05863913725577275,0.012324572452561607,True
1,0.446,0.526,0.386,0.819,0.248,0.361,0.353,0.458,0.44582009995589594,0.5342714249543675,0.38569359223030714,0.8086250701700191,0.25026973202680736,0.3619931415487188,0.34538781036876376,0.45868619114412484,0.005951614945937163,0.008069481341937874,0.021564276575740005,0.005485619750509507,True
