name,0e+00,1e-08,1e-06,1e-04,1e-02
biohydrogenation,62.7467,91.5833,62.6095,80.9834,75.7839
crauste,42.638,77.2105,87.3469,36.5423,42.8898
daisy_mamil3,0.2028,1.1804,2.3149,0.1861,12.8483
daisy_mamil4,21.9275,20.4634,23.7616,20.9178,33.2466
fitzhugh_nagumo,0.0,23.9785,7.5865,0.0356,2.6797
harmonic,1.3307,1.0,2.6675,5.1489,0.0055
hiv,9.4544,9.4542,33.1297,9.3857,21.702
lotka_volterra,72.1617,57.4017,43.5007,72.1264,72.0488
seir,20.2296,20.2577,20.2436,20.0873,28.8507
slowfast,4.6164,4.6164,4.6167,40.3083,7.2294
vanderpol,0.0,0.0,19.6612,0.0002,0.0258
