Unnamed: 0,index,id,true_states,true_parameters,time_start,time_end,time_count,name,non_identifiable,noise,finished,has_result,run,software,result,time
10,2,aircraft_pitch_2_0,"{'theta': 0.723, 'q': 0.796, 'alpha': 0.883}","{'M_alpha': 0.157, 'M_q': 0.17, 'M_delta_e': 0.116, 'Z_alpha': 0.766}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,sciml_run,sciml,"[['M_alpha', '0.15699999994340216'], ['M_q', '0.16999999965927198'], ['M_delta_e', '0.1160000000133912'], ['Z_alpha', '0.7660001522175743'], ['theta', '5.0000049985058235'], ['q', '0.7960000003012012'], ['alpha', '0.8830000014602187']]",1826.6008615493772
11,2,aircraft_pitch_2_0,"{'theta': 0.723, 'q': 0.796, 'alpha': 0.883}","{'M_alpha': 0.157, 'M_q': 0.17, 'M_delta_e': 0.116, 'Z_alpha': 0.766}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,amigo2_run,amigo2,"[['M_alpha', '1.5700e-01'], ['M_q', '1.7000e-01'], ['M_delta_e', '1.1600e-01'], ['Z_alpha', '7.6600e-01'], ['theta', '6.1260e-01'], ['q', '7.9600e-01'], ['alpha', '8.8300e-01']]",486.1021659374237
12,3,aircraft_pitch_3_0,"{'theta': 0.612, 'q': 0.215, 'alpha': 0.856}","{'M_alpha': 0.739, 'M_q': 0.469, 'M_delta_e': 0.724, 'Z_alpha': 0.195}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,odepe_polish,odepe,"[['M_alpha', '0.7390000006320585'], ['M_q', '0.46900000177543805'], ['M_delta_e', '0.7240000022788063'], ['Z_alpha', '0.19499993522670167'], ['theta', '-0.4303255447004647'], ['q', '0.21499999947122714'], ['alpha', '0.8560000007209569']]",2511.029641151428
13,3,aircraft_pitch_3_0,"{'theta': 0.612, 'q': 0.215, 'alpha': 0.856}","{'M_alpha': 0.739, 'M_q': 0.469, 'M_delta_e': 0.724, 'Z_alpha': 0.195}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,odepe_nopolish,odepe,"[['M_alpha', '0.7390764224587906'], ['M_q', '0.4692190044598947'], ['M_delta_e', '0.7243844351274492'], ['Z_alpha', '0.19654848335949346'], ['theta', '2.6594890836440577'], ['q', '0.21491171434128747'], ['alpha', '0.8558613247217586']]",2594.7432160377502
14,3,aircraft_pitch_3_0,"{'theta': 0.612, 'q': 0.215, 'alpha': 0.856}","{'M_alpha': 0.739, 'M_q': 0.469, 'M_delta_e': 0.724, 'Z_alpha': 0.195}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,sciml_run,sciml,"[['M_alpha', '0.7390000981296272'], ['M_q', '0.4689996422182739'], ['M_delta_e', '0.7240002140293071'], ['Z_alpha', '0.19505541259063597'], ['theta', '5.000005002502048'], ['q', '0.214999304420899'], ['alpha', '0.8559995854228534']]",1822.9020717144008
15,3,aircraft_pitch_3_0,"{'theta': 0.612, 'q': 0.215, 'alpha': 0.856}","{'M_alpha': 0.739, 'M_q': 0.469, 'M_delta_e': 0.724, 'Z_alpha': 0.195}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,amigo2_run,amigo2,"[['M_alpha', '7.3900e-01'], ['M_q', '4.6900e-01'], ['M_delta_e', '7.2400e-01'], ['Z_alpha', '1.9500e-01'], ['theta', '7.4481e+00'], ['q', '2.1500e-01'], ['alpha', '8.5600e-01']]",531.2987730503082
16,4,aircraft_pitch_4_0,"{'theta': 0.465, 'q': 0.555, 'alpha': 0.115}","{'M_alpha': 0.517, 'M_q': 0.432, 'M_delta_e': 0.312, 'Z_alpha': 0.719}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,odepe_polish,odepe,"[['M_alpha', '0.516999999170809'], ['M_q', '0.43200000059421423'], ['M_delta_e', '0.31200000001354516'], ['Z_alpha', '0.71899995376672'], ['theta', '1.2699417329954505'], ['q', '0.5550000033522922'], ['alpha', '0.11500000054317247']]",2598.214693069458
17,4,aircraft_pitch_4_0,"{'theta': 0.465, 'q': 0.555, 'alpha': 0.115}","{'M_alpha': 0.517, 'M_q': 0.432, 'M_delta_e': 0.312, 'Z_alpha': 0.719}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,odepe_nopolish,odepe,"[['M_alpha', '0.5170115607339758'], ['M_q', '0.43191084001647023'], ['M_delta_e', '0.31193960559882106'], ['Z_alpha', '0.7165598285235399'], ['theta', '2.0342847573015903'], ['q', '0.555084311958061'], ['alpha', '0.1150472350472572']]",2354.1711523532867
18,4,aircraft_pitch_4_0,"{'theta': 0.465, 'q': 0.555, 'alpha': 0.115}","{'M_alpha': 0.517, 'M_q': 0.432, 'M_delta_e': 0.312, 'Z_alpha': 0.719}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,sciml_run,sciml,"[['M_alpha', '0.5170000007186822'], ['M_q', '0.4319999985623359'], ['M_delta_e', '0.31200000156620006'], ['Z_alpha', '0.7190005794388789'], ['theta', '5.000005000002645'], ['q', '0.5549999930916991'], ['alpha', '0.1149999972198284']]",1818.0775017738345
19,4,aircraft_pitch_4_0,"{'theta': 0.465, 'q': 0.555, 'alpha': 0.115}","{'M_alpha': 0.517, 'M_q': 0.432, 'M_delta_e': 0.312, 'Z_alpha': 0.719}",0.0,10.0,1501,aircraft_pitch,[],0.0,True,True,amigo2_run,amigo2,"[['M_alpha', '5.1700e-01'], ['M_q', '4.3200e-01'], ['M_delta_e', '3.1200e-01'], ['Z_alpha', '7.1900e-01'], ['theta', '8.5838e+00'], ['q', '5.5500e-01'], ['alpha', '1.1500e-01']]",514.1260542869568
